ad_id,title,product_id,seller_id,availability,bids_allowed,price,created_at
1,"Ut quasi porro qui optio aspernatur fugiat.
Rem perferendis et quos. Dicta inventore nisi. Nostrum fuga sed illo velit culpa ipsum. Molestias commodi asperiores nulla.",28,181,True,True,270000000,2021-01-21 04:21:58
2,Alias possimus pariatur iusto. Neque fugit illo consectetur inventore similique ratione. Quidem quas ullam error.,2,123,True,True,250000000,2023-04-07 06:11:51
3,Iusto distinctio minima consectetur minima ut exercitationem aut. Illum praesentium provident beatae sapiente quod. Totam repellendus voluptate dicta.,41,84,True,False,510000000,2022-08-04 08:54:37
4,Rerum veritatis inventore sint enim. Voluptatum itaque tempora saepe aut. Sequi animi nemo vitae autem velit doloribus. Eveniet fuga omnis deserunt ut quae in.,13,10,False,True,470000000,2023-01-20 00:35:38
5,Nostrum quae debitis ad veniam ducimus laudantium. Magni assumenda dolorem est repellat similique culpa. Vitae molestias autem cumque qui amet exercitationem.,47,65,True,True,160000000,2020-08-11 19:31:50
6,"Laudantium aliquid nesciunt aliquid suscipit. Animi dolorem voluptas.
Aperiam sit aperiam eveniet dolore quo beatae. Dolores sit officiis nulla tempore earum aliquid quidem.",28,162,True,False,680000000,2022-03-01 00:43:02
7,Omnis dolorum nam ducimus distinctio porro laudantium. Inventore rerum tenetur sequi ea. Sunt nisi cumque veniam id.,13,85,True,True,350000000,2020-11-28 18:54:07
8,Nam voluptatibus nobis minima. Nesciunt excepturi facere enim repellat dignissimos voluptates. Laborum mollitia occaecati animi dicta eveniet.,32,140,True,False,730000000,2021-03-16 20:50:08
9,"Expedita aliquam placeat cum. Temporibus esse asperiores fuga. Aliquam eius ab vero tempora provident nulla.
Voluptate sed similique doloremque voluptatum dolore.",23,90,False,False,720000000,2022-05-02 04:51:10
10,"Debitis numquam placeat ipsam corrupti quam error. Doloribus earum fugit reiciendis dicta.
Reprehenderit minus debitis.",20,175,True,True,750000000,2020-07-09 15:46:58
11,Aspernatur earum autem perferendis. Nobis neque soluta ratione velit nemo. Soluta rem deleniti doloremque facere perspiciatis. Amet nemo recusandae iusto.,50,144,False,False,530000000,2021-04-04 04:34:40
12,Consectetur perferendis eligendi laboriosam. Veniam cupiditate ipsum quis minima. Aperiam rem fugiat consequatur recusandae et.,2,47,False,True,320000000,2021-09-19 16:52:20
13,Atque perspiciatis dicta reprehenderit. Similique cumque nemo delectus.,49,104,False,False,750000000,2020-09-15 23:28:07
14,"Totam placeat culpa eos. Occaecati blanditiis temporibus tempore.
Laudantium ipsam quaerat inventore cupiditate cumque. Similique eum molestiae totam vero maiores.",4,90,True,True,700000000,2020-03-11 05:41:02
15,"Consequuntur mollitia atque hic veritatis dolorem. Eum quod nisi vero possimus accusamus. Laboriosam sed est esse.
Dicta repellendus impedit repellendus. Voluptate impedit nihil cupiditate.",22,70,False,False,230000000,2020-07-11 13:28:05
16,Quidem cupiditate unde quidem in molestiae ipsam eum. Sapiente possimus neque inventore accusamus vero in. Voluptatum atque sint. Doloribus fugit numquam eos aspernatur doloribus dignissimos.,13,16,True,False,220000000,2020-04-30 03:49:09
17,Ex voluptas explicabo. Omnis accusantium voluptas illo fuga. Rerum delectus voluptas minus vel tenetur quibusdam error.,48,7,True,True,800000000,2021-01-24 21:35:37
18,Delectus inventore enim unde fugiat in maiores. Animi fugiat provident recusandae delectus odit. Neque veritatis optio ex consequatur non aspernatur. Magnam debitis a fugit.,7,42,True,True,680000000,2022-05-22 14:27:37
19,Praesentium non cumque nobis perferendis officia. Qui quis esse repudiandae nulla. Officiis impedit accusantium dignissimos fugit ipsa quod autem.,15,138,True,True,450000000,2020-01-24 21:48:37
20,Eos aliquam repellendus saepe vel porro quaerat. Architecto reprehenderit maiores cum laboriosam perferendis doloribus iure.,36,153,True,True,660000000,2021-04-01 17:27:26
21,Itaque libero cupiditate doloremque architecto exercitationem laboriosam. Pariatur dolor nam minima a temporibus. Debitis dolore ab odio praesentium enim.,1,50,False,True,390000000,2020-12-28 14:53:45
22,"Harum magni quidem ullam culpa. Et pariatur mollitia deleniti quis fugit.
Assumenda eaque voluptates esse. Consectetur ut quaerat. Voluptatem fugit vel odit.",36,78,True,True,650000000,2022-02-02 19:37:04
23,Similique nulla animi vitae nisi beatae velit. Dolorum aperiam provident. Neque deserunt eos exercitationem assumenda aliquam.,26,101,True,False,330000000,2023-03-22 15:49:36
