bid_id,ad_id,buyer_id,amount,status,created_at
1,77,5,470000000,Sent,2022-05-17 22:58:44
2,65,76,110000000,Sent,2022-08-29 21:07:39
3,34,70,690000000,Sent,2022-10-10 19:19:06
4,68,87,240000000,Sent,2022-11-27 00:41:47
5,22,49,720000000,Sent,2022-10-04 06:10:46
6,93,11,260000000,Sent,2022-12-13 17:11:01
7,74,72,550000000,Cancelled,2022-03-19 10:26:39
8,86,200,250000000,Sent,2023-01-25 02:57:03
9,72,191,270000000,Sent,2023-01-23 09:22:15
10,71,155,150000000,Cancelled,2023-01-14 10:23:00
11,27,98,700000000,Sent,2022-07-28 22:23:57
12,97,49,680000000,Sent,2022-03-15 06:42:11
13,60,89,440000000,Cancelled,2022-04-09 20:23:50
14,25,159,640000000,Sent,2023-02-27 14:07:28
15,58,62,530000000,Sent,2022-11-06 09:33:35
16,78,25,190000000,Sent,2022-09-03 17:39:29
17,86,81,140000000,Sent,2022-11-02 16:04:06
18,66,5,360000000,Cancelled,2022-02-03 10:38:09
19,38,153,670000000,Sent,2022-06-30 05:28:03
20,43,158,500000000,Sent,2022-05-22 16:14:09
