product_id,brand,model,type,year,color,distance
1,Toyota,Toyota Yaris,Hatchback,2016,Biru dongker,80000
2,Toyota,Toyota Yaris,Hatchback,2018,Merah jambu,25000
3,Toyota,Toyota Yaris,Hatchback,2014,Koral,50000
4,Toyota,Toyota Yaris,Hatchback,2020,Koral,40000
5,Toyota,Toyota Yaris,Hatchback,2012,Biru,35000
6,Toyota,Toyota Agya,Hatchback,2019,Biru dongker,45000
7,Toyota,Toyota Agya,Hatchback,2014,Ungu,20000
8,Toyota,Toyota Agya,Hatchback,2016,Merah bata,50000
9,Toyota,Toyota Agya,Hatchback,2022,Magenta,60000
10,Toyota,Toyota Agya,Hatchback,2017,Coklat,20000
11,Toyota,Toyota Calya,Wagon,2019,Perak,60000
12,Toyota,Toyota Calya,Wagon,2019,Emas,85000
13,Toyota,Toyota Calya,Wagon,2017,Ungu tua,75000
14,Toyota,Toyota Calya,Wagon,2016,Hijau,75000
15,Toyota,Toyota Calya,Wagon,2016,Merah,45000
16,Daihatsu,Daihatsu Ayla,Hatchback,2016,Koral,100000
17,Daihatsu,Daihatsu Ayla,Hatchback,2019,Zaitun,80000
18,Daihatsu,Daihatsu Ayla,Hatchback,2015,Hijau muda,25000
19,Daihatsu,Daihatsu Ayla,Hatchback,2017,Biru muda,80000
20,Daihatsu,Daihatsu Ayla,Hatchback,2017,Biru laut,60000
21,Daihatsu,Daihatsu Terios,SUV,2018,Merah marun,80000
22,Daihatsu,Daihatsu Terios,SUV,2022,Kuning,30000
23,Daihatsu,Daihatsu Terios,SUV,2019,Biru laut,85000
24,Daihatsu,Daihatsu Terios,SUV,2017,Hijau muda,35000
25,Daihatsu,Daihatsu Terios,SUV,2018,Biru laut,90000
26,Daihatsu,Daihatsu Xenia,MPV,2019,Nila,100000
27,Daihatsu,Daihatsu Xenia,MPV,2022,Perak,45000
28,Daihatsu,Daihatsu Xenia,MPV,2017,Merah jambu,50000
29,Daihatsu,Daihatsu Xenia,MPV,2014,Nila,100000
30,Daihatsu,Daihatsu Xenia,MPV,2018,Hijau,30000
31,Honda,Honda Jazz,Hatchback,2018,Putih,95000
32,Honda,Honda Jazz,Hatchback,2019,Biru,100000
33,Honda,Honda Jazz,Hatchback,2018,Biru,45000
34,Honda,Honda Jazz,Hatchback,2015,Biru,60000
35,Honda,Honda Jazz,Hatchback,2013,Emas,40000
36,Honda,Honda CR-V,SUV,2018,Biru,70000
37,Honda,Honda CR-V,SUV,2017,Biru,75000
38,Honda,Honda CR-V,SUV,2009,Ungu,20000
39,Honda,Honda CR-V,SUV,2016,Jingga,45000
40,Honda,Honda CR-V,SUV,2018,Coklat,80000
41,Honda,Honda Civic,Hatchback,2018,Koral,55000
42,Honda,Honda Civic,Sedan,2010,Hijau,30000
43,Honda,Honda Civic,Sedan,2013,Biru,95000
44,Honda,Honda Civic,Sedan,2013,Zaitun,40000
45,Honda,Honda Civic,Hatchback,2019,Abu-abu,25000
46,Suzuki,Suzuki Ertiga,MPV,2015,Putih,30000
47,Suzuki,Suzuki Ertiga,MPV,2018,Ungu,80000
48,Suzuki,Suzuki Ertiga,MPV,2016,Merah,55000
49,Suzuki,Suzuki Ertiga,MPV,2012,Jingga,30000
50,Suzuki,Suzuki Ertiga,MPV,2018,Ungu,95000
