bid_id,ad_id,buyer_id,amount,status,created_at
1,38,159,530000000,Sent,2022-10-21 20:12:18
2,11,140,680000000,Sent,2023-02-14 03:38:55
3,66,173,780000000,Sent,2021-11-30 05:10:21
4,76,187,660000000,Sent,2020-04-05 20:41:43
5,75,44,630000000,Sent,2020-03-20 08:23:46
6,80,76,730000000,Sent,2021-01-28 10:51:54
7,30,5,750000000,Sent,2022-04-28 08:44:40
8,83,40,250000000,Sent,2023-02-20 19:53:13
9,36,104,670000000,Not Sent,2022-11-15 16:49:21
10,74,164,420000000,Not Sent,2021-05-10 16:19:39
11,84,152,540000000,Sent,2021-10-14 10:13:40
12,70,16,570000000,Sent,2020-10-19 06:34:06
13,44,183,500000000,Not Sent,2020-06-13 17:02:53
14,6,33,190000000,Sent,2022-08-02 21:33:24
15,100,51,550000000,Sent,2021-07-28 04:43:35
16,5,56,300000000,Sent,2021-10-02 05:23:26
17,57,100,130000000,Sent,2020-03-30 20:38:13
18,30,68,340000000,Sent,2021-09-16 21:34:22
19,38,60,400000000,Not Sent,2021-03-30 20:33:44
20,38,175,410000000,Sent,2022-11-06 10:40:25
