"ad_id","product_id","brand","model","year","price"
51,5,"Toyota","Toyota Yaris",2012,140000000
98,1,"Toyota","Toyota Yaris",2016,160000000
83,1,"Toyota","Toyota Yaris",2016,240000000
19,4,"Toyota","Toyota Yaris",2020,330000000
24,2,"Toyota","Toyota Yaris",2018,410000000
43,2,"Toyota","Toyota Yaris",2018,420000000
85,1,"Toyota","Toyota Yaris",2016,470000000
46,2,"Toyota","Toyota Yaris",2018,640000000
33,5,"Toyota","Toyota Yaris",2012,680000000
22,3,"Toyota","Toyota Yaris",2014,750000000
50,5,"Toyota","Toyota Yaris",2012,770000000
