"nama_kota","brand","model","year","price","avg_car_city"
"Kota Jakarta Selatan","Toyota","Toyota Agya",2019,110000000,332000000.00000000
"Kota Jakarta Selatan","Toyota","Toyota Yaris",2012,160000000,332000000.00000000
"Kota Jakarta Selatan","Suzuki","Suzuki Ertiga",2018,390000000,332000000.00000000
"Kota Jakarta Selatan","Toyota","Toyota Yaris",2018,420000000,332000000.00000000
"Kota Jakarta Selatan","Toyota","Toyota Calya",2019,580000000,332000000.00000000
"Kota Padang","Toyota","Toyota Calya",2019,180000000,382000000.00000000
"Kota Padang","Toyota","Toyota Agya",2014,340000000,382000000.00000000
"Kota Padang","Toyota","Toyota Agya",2014,340000000,382000000.00000000
"Kota Padang","Daihatsu","Daihatsu Xenia",2017,520000000,382000000.00000000
"Kota Padang","Honda","Honda Civic",2018,530000000,382000000.00000000
"Kota Jakarta Barat","Toyota","Toyota Yaris",2018,320000000,410000000.00000000
"Kota Jakarta Barat","Honda","Honda Jazz",2015,440000000,410000000.00000000
"Kota Jakarta Barat","Toyota","Toyota Calya",2016,470000000,410000000.00000000
"Kota Samarinda","Daihatsu","Daihatsu Xenia",2017,120000000,420000000.00000000
"Kota Samarinda","Daihatsu","Daihatsu Xenia",2019,130000000,420000000.00000000
"Kota Samarinda","Toyota","Toyota Agya",2019,180000000,420000000.00000000
"Kota Samarinda","Daihatsu","Daihatsu Terios",2017,310000000,420000000.00000000
"Kota Samarinda","Toyota","Toyota Yaris",2018,420000000,420000000.00000000
"Kota Samarinda","Suzuki","Suzuki Ertiga",2016,570000000,420000000.00000000
"Kota Samarinda","Toyota","Toyota Calya",2019,580000000,420000000.00000000
"Kota Samarinda","Daihatsu","Daihatsu Xenia",2022,620000000,420000000.00000000
"Kota Samarinda","Honda","Honda Jazz",2018,630000000,420000000.00000000
"Kota Samarinda","Daihatsu","Daihatsu Terios",2019,640000000,420000000.00000000
"Kota Denpasar","Toyota","Toyota Calya",2016,250000000,422500000.00000000
"Kota Denpasar","Toyota","Toyota Yaris",2020,270000000,422500000.00000000
"Kota Denpasar","Suzuki","Suzuki Ertiga",2018,390000000,422500000.00000000
"Kota Denpasar","Daihatsu","Daihatsu Terios",2022,390000000,422500000.00000000
"Kota Denpasar","Toyota","Toyota Yaris",2018,420000000,422500000.00000000
"Kota Denpasar","Toyota","Toyota Agya",2017,520000000,422500000.00000000
"Kota Denpasar","Honda","Honda CR-V",2016,560000000,422500000.00000000
"Kota Denpasar","Toyota","Toyota Calya",2019,580000000,422500000.00000000
"Kota Bukittinggi","Toyota","Toyota Agya",2019,180000000,433333333.33333333
"Kota Bukittinggi","Daihatsu","Daihatsu Terios",2022,500000000,433333333.33333333
"Kota Bukittinggi","Daihatsu","Daihatsu Xenia",2022,620000000,433333333.33333333
"Kota Makassar","Toyota","Toyota Calya",2019,170000000,445714285.71428571
"Kota Makassar","Honda","Honda Civic",2019,170000000,445714285.71428571
"Kota Makassar","Toyota","Toyota Agya",2017,390000000,445714285.71428571
"Kota Makassar","Suzuki","Suzuki Ertiga",2016,570000000,445714285.71428571
"Kota Makassar","Suzuki","Suzuki Ertiga",2016,570000000,445714285.71428571
"Kota Makassar","Suzuki","Suzuki Ertiga",2016,600000000,445714285.71428571
"Kota Makassar","Daihatsu","Daihatsu Terios",2017,650000000,445714285.71428571
"Kota Yogyakarta","Honda","Honda CR-V",2009,110000000,450000000.00000000
"Kota Yogyakarta","Toyota","Toyota Agya",2017,390000000,450000000.00000000
"Kota Yogyakarta","Toyota","Toyota Calya",2017,460000000,450000000.00000000
"Kota Yogyakarta","Suzuki","Suzuki Ertiga",2016,600000000,450000000.00000000
"Kota Yogyakarta","Honda","Honda CR-V",2018,690000000,450000000.00000000
"Kota Balikpapan","Toyota","Toyota Calya",2016,250000000,455000000.00000000
"Kota Balikpapan","Toyota","Toyota Agya",2014,280000000,455000000.00000000
"Kota Balikpapan","Daihatsu","Daihatsu Terios",2017,310000000,455000000.00000000
"Kota Balikpapan","Toyota","Toyota Agya",2014,400000000,455000000.00000000
"Kota Balikpapan","Daihatsu","Daihatsu Terios",2017,440000000,455000000.00000000
"Kota Balikpapan","Honda","Honda Jazz",2018,500000000,455000000.00000000
"Kota Balikpapan","Daihatsu","Daihatsu Xenia",2017,520000000,455000000.00000000
"Kota Balikpapan","Toyota","Toyota Agya",2014,550000000,455000000.00000000
"Kota Balikpapan","Daihatsu","Daihatsu Terios",2017,620000000,455000000.00000000
"Kota Balikpapan","Daihatsu","Daihatsu Ayla",2017,680000000,455000000.00000000
"Kota Jakarta Utara","Toyota","Toyota Calya",2019,170000000,455714285.71428571
"Kota Jakarta Utara","Toyota","Toyota Agya",2014,340000000,455714285.71428571
"Kota Jakarta Utara","Toyota","Toyota Agya",2014,400000000,455714285.71428571
"Kota Jakarta Utara","Toyota","Toyota Yaris",2018,500000000,455714285.71428571
"Kota Jakarta Utara","Daihatsu","Daihatsu Xenia",2017,520000000,455714285.71428571
"Kota Jakarta Utara","Honda","Honda CR-V",2018,580000000,455714285.71428571
"Kota Jakarta Utara","Daihatsu","Daihatsu Ayla",2017,680000000,455714285.71428571
"Kota Malang","Toyota","Toyota Agya",2019,110000000,478888888.88888889
"Kota Malang","Honda","Honda CR-V",2009,200000000,478888888.88888889
"Kota Malang","Daihatsu","Daihatsu Ayla",2019,270000000,478888888.88888889
"Kota Malang","Honda","Honda CR-V",2017,470000000,478888888.88888889
"Kota Malang","Honda","Honda Jazz",2013,540000000,478888888.88888889
"Kota Malang","Daihatsu","Daihatsu Ayla",2017,570000000,478888888.88888889
"Kota Malang","Daihatsu","Daihatsu Ayla",2017,570000000,478888888.88888889
"Kota Malang","Honda","Honda Jazz",2013,790000000,478888888.88888889
"Kota Malang","Honda","Honda Jazz",2013,790000000,478888888.88888889
"Kota Surabaya","Toyota","Toyota Calya",2016,250000000,495000000.00000000
"Kota Surabaya","Honda","Honda CR-V",2018,300000000,495000000.00000000
"Kota Surabaya","Toyota","Toyota Agya",2017,390000000,495000000.00000000
"Kota Surabaya","Suzuki","Suzuki Ertiga",2016,600000000,495000000.00000000
"Kota Surabaya","Suzuki","Suzuki Ertiga",2018,690000000,495000000.00000000
"Kota Surabaya","Honda","Honda Jazz",2015,740000000,495000000.00000000
"Kota Jakarta Pusat","Daihatsu","Daihatsu Ayla",2019,270000000,523750000.00000000
"Kota Jakarta Pusat","Toyota","Toyota Yaris",2018,420000000,523750000.00000000
"Kota Jakarta Pusat","Honda","Honda CR-V",2017,470000000,523750000.00000000
"Kota Jakarta Pusat","Daihatsu","Daihatsu Xenia",2017,520000000,523750000.00000000
"Kota Jakarta Pusat","Honda","Honda Civic",2018,570000000,523750000.00000000
"Kota Jakarta Pusat","Daihatsu","Daihatsu Ayla",2017,570000000,523750000.00000000
"Kota Jakarta Pusat","Toyota","Toyota Calya",2019,580000000,523750000.00000000
"Kota Jakarta Pusat","Honda","Honda Jazz",2013,790000000,523750000.00000000
"Kota Jakarta Timur","Toyota","Toyota Agya",2014,400000000,526666666.66666667
"Kota Jakarta Timur","Daihatsu","Daihatsu Terios",2022,500000000,526666666.66666667
"Kota Jakarta Timur","Daihatsu","Daihatsu Ayla",2017,680000000,526666666.66666667
