"ad_id","product_id","brand","model","year","price"
18,34,"Honda","Honda Jazz",2015,440000000
22,18,"Daihatsu","Daihatsu Ayla",2015,190000000
23,46,"Suzuki","Suzuki Ertiga",2015,110000000
26,34,"Honda","Honda Jazz",2015,320000000
47,34,"Honda","Honda Jazz",2015,740000000
63,46,"Suzuki","Suzuki Ertiga",2015,680000000
64,34,"Honda","Honda Jazz",2015,800000000
90,18,"Daihatsu","Daihatsu Ayla",2015,540000000
7,15,"Toyota","Toyota Calya",2016,470000000
10,8,"Toyota","Toyota Agya",2016,590000000
29,48,"Suzuki","Suzuki Ertiga",2016,570000000
55,39,"Honda","Honda CR-V",2016,560000000
61,8,"Toyota","Toyota Agya",2016,580000000
62,14,"Toyota","Toyota Calya",2016,250000000
65,39,"Honda","Honda CR-V",2016,500000000
75,14,"Toyota","Toyota Calya",2016,680000000
81,8,"Toyota","Toyota Agya",2016,780000000
91,48,"Suzuki","Suzuki Ertiga",2016,600000000
2,10,"Toyota","Toyota Agya",2017,390000000
8,37,"Honda","Honda CR-V",2017,470000000
11,19,"Daihatsu","Daihatsu Ayla",2017,300000000
15,19,"Daihatsu","Daihatsu Ayla",2017,680000000
27,37,"Honda","Honda CR-V",2017,630000000
32,37,"Honda","Honda CR-V",2017,740000000
37,24,"Daihatsu","Daihatsu Terios",2017,440000000
45,10,"Toyota","Toyota Agya",2017,520000000
46,24,"Daihatsu","Daihatsu Terios",2017,210000000
58,24,"Daihatsu","Daihatsu Terios",2017,140000000
69,24,"Daihatsu","Daihatsu Terios",2017,650000000
70,28,"Daihatsu","Daihatsu Xenia",2017,520000000
71,24,"Daihatsu","Daihatsu Terios",2017,620000000
73,13,"Toyota","Toyota Calya",2017,460000000
82,24,"Daihatsu","Daihatsu Terios",2017,310000000
84,19,"Daihatsu","Daihatsu Ayla",2017,570000000
92,37,"Honda","Honda CR-V",2017,710000000
95,28,"Daihatsu","Daihatsu Xenia",2017,120000000
5,2,"Toyota","Toyota Yaris",2018,590000000
6,2,"Toyota","Toyota Yaris",2018,420000000
12,47,"Suzuki","Suzuki Ertiga",2018,690000000
14,25,"Daihatsu","Daihatsu Terios",2018,240000000
16,31,"Honda","Honda Jazz",2018,560000000
20,2,"Toyota","Toyota Yaris",2018,660000000
21,25,"Daihatsu","Daihatsu Terios",2018,420000000
30,2,"Toyota","Toyota Yaris",2018,730000000
42,2,"Toyota","Toyota Yaris",2018,320000000
48,40,"Honda","Honda CR-V",2018,210000000
50,41,"Honda","Honda Civic",2018,530000000
53,2,"Toyota","Toyota Yaris",2018,500000000
56,31,"Honda","Honda Jazz",2018,630000000
59,41,"Honda","Honda Civic",2018,350000000
60,47,"Suzuki","Suzuki Ertiga",2018,390000000
74,21,"Daihatsu","Daihatsu Terios",2018,800000000
76,33,"Honda","Honda Jazz",2018,100000000
77,40,"Honda","Honda CR-V",2018,580000000
80,33,"Honda","Honda Jazz",2018,610000000
85,40,"Honda","Honda CR-V",2018,690000000
88,36,"Honda","Honda CR-V",2018,300000000
89,41,"Honda","Honda Civic",2018,570000000
97,50,"Suzuki","Suzuki Ertiga",2018,330000000
98,50,"Suzuki","Suzuki Ertiga",2018,180000000
100,33,"Honda","Honda Jazz",2018,500000000
24,17,"Daihatsu","Daihatsu Ayla",2019,270000000
28,12,"Toyota","Toyota Calya",2019,320000000
33,26,"Daihatsu","Daihatsu Xenia",2019,130000000
36,32,"Honda","Honda Jazz",2019,340000000
40,45,"Honda","Honda Civic",2019,170000000
43,12,"Toyota","Toyota Calya",2019,580000000
54,32,"Honda","Honda Jazz",2019,530000000
57,11,"Toyota","Toyota Calya",2019,170000000
66,6,"Toyota","Toyota Agya",2019,110000000
68,17,"Daihatsu","Daihatsu Ayla",2019,370000000
72,17,"Daihatsu","Daihatsu Ayla",2019,370000000
79,45,"Honda","Honda Civic",2019,670000000
83,45,"Honda","Honda Civic",2019,340000000
86,11,"Toyota","Toyota Calya",2019,180000000
93,6,"Toyota","Toyota Agya",2019,180000000
96,23,"Daihatsu","Daihatsu Terios",2019,640000000
9,4,"Toyota","Toyota Yaris",2020,520000000
99,4,"Toyota","Toyota Yaris",2020,270000000
1,9,"Toyota","Toyota Agya",2022,620000000
13,22,"Daihatsu","Daihatsu Terios",2022,390000000
19,27,"Daihatsu","Daihatsu Xenia",2022,620000000
52,27,"Daihatsu","Daihatsu Xenia",2022,400000000
67,22,"Daihatsu","Daihatsu Terios",2022,500000000
