"bid_id","ad_id","product_id","buyer_id","created_at","amount","status"
1,38,23,159,"2022-10-21 20:12:18",530000000,"Sent"
2,11,26,140,"2023-02-14 03:38:55",680000000,"Sent"
3,66,28,173,"2021-11-30 05:10:21",780000000,"Sent"
4,76,39,187,"2020-04-05 20:41:43",660000000,"Sent"
5,75,24,44,"2020-03-20 08:23:46",630000000,"Sent"
6,80,11,76,"2021-01-28 10:51:54",730000000,"Sent"
7,30,27,5,"2022-04-28 08:44:40",750000000,"Sent"
8,83,1,40,"2023-02-20 19:53:13",250000000,"Sent"
9,36,33,104,"2022-11-15 16:49:21",670000000,"Not Sent"
10,74,45,164,"2021-05-10 16:19:39",420000000,"Not Sent"
11,84,46,152,"2021-10-14 10:13:40",540000000,"Sent"
12,70,48,16,"2020-10-19 06:34:06",570000000,"Sent"
13,44,10,183,"2020-06-13 17:02:53",500000000,"Not Sent"
14,6,39,33,"2022-08-02 21:33:24",190000000,"Sent"
15,100,40,51,"2021-07-28 04:43:35",550000000,"Sent"
16,5,25,56,"2021-10-02 05:23:26",300000000,"Sent"
17,57,39,100,"2020-03-30 20:38:13",130000000,"Sent"
18,30,27,68,"2021-09-16 21:34:22",340000000,"Sent"
19,38,23,60,"2021-03-30 20:33:44",400000000,"Not Sent"
20,38,23,175,"2022-11-06 10:40:25",410000000,"Sent"
